company_key,company_display_name,year,quarter,reporting_currency,metric,raw_label,raw_value,value,unit,matched_alias,extraction_method,source_file,inserted_at
LendBridge,LendBridge Capital Corp.,2024,2,USD,gross_margin,Gross Margin 58%,58%,58.0,%,gross margin,table,LendBridge_Q2_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,2,USD,net_revenue_retention,,,,,,,LendBridge_Q2_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,2,USD,logo_churn,,,,,,,LendBridge_Q2_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,2,USD,headcount,Total Headcount 162,162,162.0,,total headcount,table,LendBridge_Q2_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,2,USD,cash_balance,,,,,,,LendBridge_Q2_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,2,USD,net_burn,,,,,,,LendBridge_Q2_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,3,USD,revenue,Recognized Revenue $10.8M,$10.8M,10.8,M,recognized revenue,table,LendBridge_Q3_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,3,USD,arr,,,,,,,LendBridge_Q3_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,3,USD,gross_margin,Gross Margin 59%,59%,59.0,%,gross margin,table,LendBridge_Q3_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,3,USD,net_revenue_retention,,,,,,,LendBridge_Q3_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,3,USD,logo_churn,,,,,,,LendBridge_Q3_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,3,USD,headcount,Total Headcount 169,169,169.0,,total headcount,table,LendBridge_Q3_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,3,USD,cash_balance,,,,,,,LendBridge_Q3_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,3,USD,net_burn,,,,,,,LendBridge_Q3_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,4,USD,revenue,Recognized Revenue $11.4M,$11.4M,11.4,M,recognized revenue,table,LendBridge_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,4,USD,arr,,,,,,,LendBridge_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,4,USD,gross_margin,Gross Margin 60%,60%,60.0,%,gross margin,table,LendBridge_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,4,USD,net_revenue_retention,,,,,,,LendBridge_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,4,USD,logo_churn,,,,,,,LendBridge_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,4,USD,headcount,Total Headcount 175,175,175.0,,total headcount,table,LendBridge_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,4,USD,cash_balance,,,,,,,LendBridge_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2024,4,USD,net_burn,,,,,,,LendBridge_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2025,1,USD,revenue,Recognized Revenue $12.1M,$12.1M,12.1,M,recognized revenue,table,LendBridge_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2025,1,USD,arr,,,,,,,LendBridge_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2025,1,USD,gross_margin,Gross Margin 61%,61%,61.0,%,gross margin,table,LendBridge_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2025,1,USD,net_revenue_retention,,,,,,,LendBridge_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2025,1,USD,logo_churn,,,,,,,LendBridge_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2025,1,USD,headcount,Total Headcount 182,182,182.0,,total headcount,table,LendBridge_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2025,1,USD,cash_balance,,,,,,,LendBridge_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2025,1,USD,net_burn,,,,,,,LendBridge_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2025,2,USD,revenue,Recognized Revenue $12.7M,$12.7M,12.7,M,recognized revenue,table,LendBridge_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2025,2,USD,arr,,,,,,,LendBridge_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2025,2,USD,gross_margin,Gross Margin 62%,62%,62.0,%,gross margin,table,LendBridge_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2025,2,USD,net_revenue_retention,,,,,,,LendBridge_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2025,2,USD,logo_churn,,,,,,,LendBridge_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2025,2,USD,headcount,Total Headcount 188,188,188.0,,total headcount,table,LendBridge_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2025,2,USD,cash_balance,,,,,,,LendBridge_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
LendBridge,LendBridge Capital Corp.,2025,2,USD,net_burn,,,,,,,LendBridge_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2024,4,USD,revenue,Recognized Revenue 6.1M,6.1M,6.1,M,recognized revenue,table,MediSight_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2024,4,USD,arr,Contracted ARR (end of period) 24.5M,24.5M,24.5,M,contracted arr (end of period),table,MediSight_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2024,4,USD,gross_margin,Gross Margin 75%,75%,75.0,%,gross margin,table,MediSight_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2024,4,USD,net_revenue_retention,,,,,,,MediSight_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2024,4,USD,logo_churn,,,,,,,MediSight_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2024,4,USD,headcount,Total Headcount 108,108,108.0,,total headcount,table,MediSight_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2024,4,USD,cash_balance,,,,,,,MediSight_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2024,4,USD,net_burn,,,,,,,MediSight_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2025,1,USD,revenue,Recognized Revenue 6.3M,6.3M,6.3,M,recognized revenue,table,MediSight_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2025,1,USD,arr,Contracted Annual Recurring Revenue 26.1M,26.1M,26.1,M,contracted annual recurring revenue,table,MediSight_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2025,1,USD,gross_margin,Gross Margin 76%,76%,76.0,%,gross margin,table,MediSight_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2025,1,USD,net_revenue_retention,,,,,,,MediSight_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2025,1,USD,logo_churn,,,,,,,MediSight_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2025,1,USD,headcount,"(from narrative text, not a table row)",114,114.0,,"headcount of (\d[\d,]*)\b",narrative,MediSight_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2025,1,USD,cash_balance,,,,,,,MediSight_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2025,1,USD,net_burn,,,,,,,MediSight_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2025,2,USD,revenue,Recognized Revenue 6.8M,6.8M,6.8,M,recognized revenue,table,MediSight_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2025,2,USD,arr,Contracted ARR (end of period) 27.9M,27.9M,27.9,M,contracted arr (end of period),table,MediSight_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2025,2,USD,gross_margin,Gross Margin 77%,77%,77.0,%,gross margin,table,MediSight_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2025,2,USD,net_revenue_retention,,,,,,,MediSight_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2025,2,USD,logo_churn,,,,,,,MediSight_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2025,2,USD,headcount,Total Headcount 121,121,121.0,,total headcount,table,MediSight_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2025,2,USD,cash_balance,,,,,,,MediSight_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
MediSight,MediSight Data Platform Inc.,2025,2,USD,net_burn,,,,,,,MediSight_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,2,USD,revenue,Total Billings (USD) $5.8M,$5.8M,5.8,M,total billings (usd),table,NovaCloud_Q2_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,2,USD,arr,End-of-Period ARR $24.1M,$24.1M,24.1,M,end-of-period arr,table,NovaCloud_Q2_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,2,USD,gross_margin,Gross Margin 74%,74%,74.0,%,gross margin,table,NovaCloud_Q2_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,2,USD,net_revenue_retention,Net Dollar Retention (LTM) 115%,115%,115.0,%,net dollar retention (ltm),table,NovaCloud_Q2_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,2,USD,logo_churn,Logo Churn Rate (LTM) 7.8%,7.8%,7.8,%,logo churn rate (ltm),table,NovaCloud_Q2_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,2,USD,headcount,Total Headcount 112,112,112.0,,total headcount,table,NovaCloud_Q2_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,2,USD,cash_balance,Cash Balance $29.5M,$29.5M,29.5,M,cash balance,table,NovaCloud_Q2_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,2,USD,net_burn,Monthly Net Burn ($0.98M),($0.98M),-0.98,M,monthly net burn,table,NovaCloud_Q2_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,3,USD,revenue,Recognized Revenue (USD) $6.5M,$6.5M,6.5,M,recognized revenue (usd),table,NovaCloud_Q3_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,3,USD,arr,End-of-Period ARR $26.8M,$26.8M,26.8,M,end-of-period arr,table,NovaCloud_Q3_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,3,USD,gross_margin,Gross Margin 75%,75%,75.0,%,gross margin,table,NovaCloud_Q3_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,3,USD,net_revenue_retention,Net Dollar Retention (LTM) 117%,117%,117.0,%,net dollar retention (ltm),table,NovaCloud_Q3_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,3,USD,logo_churn,Logo Churn Rate (LTM) 7.2%,7.2%,7.2,%,logo churn rate (ltm),table,NovaCloud_Q3_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,3,USD,headcount,Total Headcount 120,120,120.0,,total headcount,table,NovaCloud_Q3_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,3,USD,cash_balance,Cash Balance $26.6M,$26.6M,26.6,M,cash balance,table,NovaCloud_Q3_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,3,USD,net_burn,Monthly Net Burn ($0.95M),($0.95M),-0.95,M,monthly net burn,table,NovaCloud_Q3_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,4,USD,revenue,Net Revenue (USD) $7.2M,$7.2M,7.2,M,net revenue (usd),table,NovaCloud_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,4,USD,arr,End-of-Period ARR $29.1M,$29.1M,29.1,M,end-of-period arr,table,NovaCloud_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,4,USD,gross_margin,,,,,,,NovaCloud_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,4,USD,net_revenue_retention,,,,,,,NovaCloud_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,4,USD,logo_churn,Logo Churn Rate (LTM) 6.5%,6.5%,6.5,%,logo churn rate (ltm),table,NovaCloud_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,4,USD,headcount,Total Headcount 128,128,128.0,,total headcount,table,NovaCloud_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,4,USD,cash_balance,Cash Balance $24.0M,$24.0M,24.0,M,cash balance,table,NovaCloud_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2024,4,USD,net_burn,Monthly Net Burn ($0.88M),($0.88M),-0.88,M,monthly net burn,table,NovaCloud_Q4_2024.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2025,1,USD,revenue,Recognized Revenue (USD) $7.9M,$7.9M,7.9,M,recognized revenue (usd),table,NovaCloud_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2025,1,USD,arr,End-of-Period ARR $31.6M,$31.6M,31.6,M,end-of-period arr,table,NovaCloud_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2025,1,USD,gross_margin,Gross Margin 77%,77%,77.0,%,gross margin,table,NovaCloud_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2025,1,USD,net_revenue_retention,NRR (LTM) 121%,121%,121.0,%,nrr (ltm),table,NovaCloud_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2025,1,USD,logo_churn,Logo Churn (LTM) 6.1%,6.1%,6.1,%,logo churn (ltm),table,NovaCloud_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2025,1,USD,headcount,Total Headcount 135,135,135.0,,total headcount,table,NovaCloud_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2025,1,USD,cash_balance,Cash Balance $21.3M,$21.3M,21.3,M,cash balance,table,NovaCloud_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2025,1,USD,net_burn,Monthly Net Burn ($0.82M),($0.82M),-0.82,M,monthly net burn,table,NovaCloud_Q1_2025.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2025,2,USD,revenue,Recognized Revenue (USD) $8.4M,$8.4M,8.4,M,recognized revenue (usd),table,NovaCloud_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2025,2,USD,arr,ARR (End of Period) $34.2M,$34.2M,34.2,M,arr (end of period),table,NovaCloud_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
NovaCloud,NovaCloud Analytics Inc.,2025,2,USD,gross_margin,Gross Margin 78%,78%,78.0,%,gross margin,table,NovaCloud_Q2_2025.pdf,2026-08-18T13:43:24.613863+00:00
